track_id,frame_id,fold,genre
1,1,fold2,metal
1,2,fold2,metal
1,3,fold2,metal
1,4,fold2,metal
1,5,fold2,metal
1,6,fold2,metal
1,7,fold2,metal
1,8,fold2,metal
1,9,fold2,metal
1,10,fold2,metal
1,11,fold2,metal
1,12,fold2,metal
1,13,fold2,metal
1,14,fold2,metal
1,15,fold2,metal
1,16,fold2,metal
1,17,fold2,metal
1,18,fold2,metal
1,19,fold2,metal
1,20,fold2,metal
1,21,fold2,metal
2,1,fold2,metal
2,2,fold2,metal
2,3,fold2,metal
2,4,fold2,metal
2,5,fold2,metal
2,6,fold2,metal
2,7,fold2,metal
2,8,fold2,metal
2,9,fold2,metal
2,10,fold2,metal
2,11,fold2,metal
2,12,fold2,metal
2,13,fold2,metal
2,14,fold2,metal
2,15,fold2,metal
2,16,fold2,metal
2,17,fold2,metal
2,18,fold2,metal
2,19,fold2,metal
2,20,fold2,metal
2,21,fold2,metal
3,1,fold2,metal
3,2,fold2,metal
3,3,fold2,metal
3,4,fold2,metal
3,5,fold2,metal
3,6,fold2,metal
3,7,fold2,metal
3,8,fold2,metal
3,9,fold2,metal
3,10,fold2,metal
3,11,fold2,metal
3,12,fold2,metal
3,13,fold2,metal
3,14,fold2,metal
3,15,fold2,metal
3,16,fold2,metal
3,17,fold2,metal
3,18,fold2,metal
3,19,fold2,metal
3,20,fold2,metal
3,21,fold2,metal
4,1,fold2,metal
4,2,fold2,metal
4,3,fold2,metal
4,4,fold2,metal
4,5,fold2,metal
4,6,fold2,metal
4,7,fold2,metal
4,8,fold2,metal
4,9,fold2,metal
4,10,fold2,metal
4,11,fold2,metal
4,12,fold2,metal
4,13,fold2,metal
4,14,fold2,metal
4,15,fold2,metal
4,16,fold2,metal
4,17,fold2,metal
4,18,fold2,metal
4,19,fold2,metal
4,20,fold2,metal
4,21,fold2,metal
5,1,fold2,metal
5,2,fold2,metal
5,3,fold2,metal
5,4,fold2,metal
5,5,fold2,metal
5,6,fold2,metal
5,7,fold2,metal
5,8,fold2,metal
5,9,fold2,metal
5,10,fold2,metal
5,11,fold2,metal
5,12,fold2,metal
5,13,fold2,metal
5,14,fold2,metal
5,15,fold2,metal
5,16,fold2,metal
5,17,fold2,metal
5,18,fold2,metal
5,19,fold2,metal
5,20,fold2,metal
